Commune;Département;Région;Altitude Moyenne;Superficie;geo_point_2d;Code Commune;Code Canton;Code Arrondissement;Code Département;Code Région
SAINT-VICTOR-MONTVIANEIX;PUY-DE-DOME;AUVERGNE;750.0;4508.0;45.9381159052,3.61132640921;402;43;5;63;83
BARSAC;DROME;RHONE-ALPES;606.0;1582.0;44.7264116116,5.30407617795;27;9;1;26;82
SAINT-BONNET-LE-COURREAU;LOIRE;RHONE-ALPES;992.0;5036.0;45.655161946,3.9261116009;205;25;1;42;82
COLLONGES-AU-MONT-D'OR;RHONE;RHONE-ALPES;208.0;381.0;45.8220411914,4.8419319446;63;10;1;69;82
VIDAI;ORNE;BASSE-NORMANDIE;151.0;158.0;48.4602912292,0.376581458211;502;28;3;61;25
SICKERT;HAUT-RHIN;ALSACE;562.0;512.0;47.7919119213,6.98580589371;308;15;6;68;42
MENESQUEVILLE;EURE;HAUTE-NORMANDIE;85.0;413.0;49.3574004646,1.40684415026;396;18;1;27;23
AMENONCOURT;MEURTHE-ET-MOSELLE;LORRAINE;291.0;727.0;48.6300704003,6.78443520767;13;6;2;54;41
LES ROCHES-L'EVEQUE;LOIR-ET-CHER;CENTRE;113.0;243.0;47.7861085409,0.88757317848;192;12;2;41;24
MYENNES;NIEVRE;BOURGOGNE;175.0;714.0;47.4543629223,2.94370342447;187;31;4;58;26
BOUGLAINVAL;EURE-ET-LOIR;CENTRE;151.0;1447.0;48.5606379303,1.51011696561;52;18;1;28;24
SOULIERES;MARNE;CHAMPAGNE-ARDENNE;210.0;605.0;48.9038402772,3.93440126624;558;29;1;51;21
CASTELVIEILH;HAUTES-PYRENEES;MIDI-PYRENEES;290.0;532.0;43.281097408,0.201372876533;131;17;3;65;73
LA CHAPELLE-DU-BOIS;SARTHE;PAYS DE LA LOIRE;157.0;1651.0;48.2270021313,0.583491271516;62;10;2;72;52
CLAVETTE;CHARENTE-MARITIME;POITOU-CHARENTES;25.0;630.0;46.1423813762,-1.03660142128;109;10;3;17;54
VOULTEGON;DEUX-SEVRES;POITOU-CHARENTES;136.0;1760.0;46.9119628011,-0.52429679005;356;2;1;79;54
