CODGEO;LIBGEO;SEXE1_AGEPYR1000;SEXE1_AGEPYR1003;SEXE1_AGEPYR1006;SEXE1_AGEPYR1011;SEXE1_AGEPYR1018;SEXE1_AGEPYR1025;SEXE1_AGEPYR1040;SEXE1_AGEPYR1055;SEXE1_AGEPYR1065;SEXE1_AGEPYR1080;SEXE2_AGEPYR1000;SEXE2_AGEPYR1003;SEXE2_AGEPYR1006;SEXE2_AGEPYR1011;SEXE2_AGEPYR1018;SEXE2_AGEPYR1025;SEXE2_AGEPYR1040;SEXE2_AGEPYR1055;SEXE2_AGEPYR1065;SEXE2_AGEPYR1080;population;LIBGEO2
01001;L'Abergement-Clémenciat;15;11;24;52;22;51;97;47;59;14;14;7;33;38;14;55;96;48;52;18;767;l'abergement clemenciat
01002;L'Abergement-de-Varey;3;4;10;11;3;24;30;11;21;6;11;6;4;13;5;30;20;14;12;5;243;l'abergement de varey
01004;Ambérieu-en-Bugey;297;278;496;637;595;1491;1315;779;639;285;350;269;433;608;610;1496;1255;849;931;467;14080;amberieu en bugey
01005;Ambérieux-en-Dombes;33;36;60;74;70;133;199;111;101;26;26;40;61;74;56;155;187;102;96;34;1674;amberieux en dombes
01006;Ambléon;1;1;2;7;6;9;15;9;9;3;2;0;1;1;1;6;13;10;9;5;110;ambleon
01007;Ambronay;58;69;104;100;70;268;294;164;144;42;64;62;106;135;68;284;276;165;144;66;2683;ambronay
01008;Ambutrix;10;13;24;34;28;82;86;52;41;9;11;15;24;35;24;83;82;46;41;11;751;ambutrix
01009;Andert-et-Condon;2;3;15;18;10;20;37;21;35;10;3;5;6;16;8;23;36;21;32;15;336;andert et condon
01010;Anglefort;22;23;53;49;25;119;115;70;61;13;20;27;52;61;22;120;114;51;74;30;1121;anglefort
01011;Apremont;8;7;19;16;6;29;49;26;32;2;7;8;16;22;5;35;42;20;30;3;382;apremont
01012;Aranc;6;8;15;17;6;23;28;23;27;14;3;5;5;17;5;27;26;27;30;14;326;aranc
01013;Arandas;5;3;4;7;2;7;23;11;14;2;2;3;5;4;5;8;19;9;11;2;146;arandas
01014;Arbent;41;47;132;176;106;278;368;206;245;57;47;59;127;158;93;270;358;233;271;106;3378;arbent
01015;Arboys en Bugey;8;10;22;28;18;47;63;43;66;13;8;6;14;29;21;54;65;44;58;24;641;arboys en bugey
01016;Arbigny;6;13;18;27;12;41;47;26;36;8;11;9;21;24;10;45;44;21;28;14;461;arbigny
01017;Argis;9;8;12;17;6;38;41;35;35;14;7;16;18;18;9;39;43;27;33;13;438;argis
01019;Armix;1;0;0;3;0;1;1;6;2;0;1;0;0;0;0;1;2;2;3;1;24;armix
01021;Ars-sur-Formans;16;34;43;72;60;121;160;79;70;18;19;29;46;76;40;120;162;89;105;27;1386;ars sur formans
01022;Artemare;14;20;39;69;36;90;129;90;87;30;15;19;33;45;29;84;137;92;109;60;1227;artemare
01023;Asnières-sur-Saône;2;0;0;7;2;5;9;5;5;3;0;1;2;1;1;6;10;4;2;0;65;asnieres sur saone
01024;Attignat;50;71;136;177;110;302;350;173;202;50;54;69;128;174;93;310;367;177;201;75;3269;attignat
01025;Bâgé-Dommartin;71;92;184;240;111;355;483;248;225;65;79;83;153;221;104;388;461;262;178;86;4089;bage dommartin
01026;Bâgé-le-Châtel;19;8;22;27;43;80;77;49;67;35;12;17;31;30;53;71;86;47;76;64;914;bage le chatel
01027;Balan;45;49;88;100;520;515;204;106;94;13;52;47;66;80;211;269;180;97;103;17;2856;balan
01028;Baneins;16;17;19;21;14;53;62;47;34;10;10;10;27;25;22;65;58;51;28;8;597;baneins
01029;Beaupont;10;14;19;28;16;64;80;55;36;24;6;12;35;28;11;65;78;48;42;18;689;beaupont
01030;Beauregard;19;16;31;41;27;88;97;54;31;15;22;22;31;56;26;99;98;56;45;12;886;beauregard
01031;Bellignat;64;63;129;169;149;362;356;191;221;53;67;71;135;162;152;345;338;254;244;94;3619;bellignat
01032;Béligneux;96;83;161;171;89;354;306;159;140;45;79;99;143;167;104;396;290;170;168;95;3315;beligneux
01033;Valserhône;353;315;623;730;627;1671;1771;821;864;267;326;360;561;590;550;1725;1611;995;961;582;16303;valserhone
01034;Belley;159;175;298;410;319;770;830;521;560;258;153;173;318;359;328;750;907;611;677;557;9133;belley
01035;Belleydoux;7;2;11;10;5;31;37;32;15;11;4;5;7;16;7;27;42;27;15;6;317;belleydoux
01036;Valromey-sur-Séran;20;21;54;65;24;93;127;99;121;37;16;18;40;49;16;100;139;99;119;43;1300;valromey sur seran
01037;Bénonces;6;7;15;7;11;31;41;16;32;12;6;6;5;12;7;21;23;15;16;5;294;benonces
01038;Bény;9;17;22;47;23;56;86;51;53;13;10;15;34;32;23;59;80;59;49;24;762;beny
01039;Béon;6;14;8;19;17;37;52;38;31;9;14;6;8;26;14;36;42;42;32;13;464;beon
01040;Béréziat;13;9;24;26;15;49;62;30;19;9;8;12;23;21;14;47;57;20;28;6;492;bereziat
01041;Bettant;14;14;27;24;26;71;85;44;47;10;7;19;24;33;18;66;88;59;45;26;747;bettant
01042;Bey;3;10;13;15;7;22;34;23;19;6;5;2;4;18;0;22;32;21;15;5;276;bey
01043;Beynost;68;98;143;270;165;323;524;281;277;89;63;84;151;231;167;353;550;280;317;122;4556;beynost
01044;Billiat;8;16;18;32;25;62;69;28;32;15;8;9;29;40;20;66;59;29;35;13;613;billiat
01045;Birieux;7;7;15;19;4;32;33;11;15;2;3;6;10;17;3;31;33;12;14;7;281;birieux
01046;Biziat;13;27;32;38;27;73;93;61;42;17;13;22;42;44;22;89;90;54;38;21;858;biziat
01047;Blyes;24;14;44;72;35;82;142;48;39;10;15;20;35;61;29;88;134;43;42;18;995;blyes
01049;La Boisse;57;72;126;161;113;255;343;177;182;49;40;51;96;158;107;256;340;183;188;69;3023;la boisse
01050;Boissey;7;12;9;12;6;36;38;16;16;11;8;13;17;13;11;43;34;13;12;8;335;boissey
01051;Bolozon;4;1;2;0;1;8;8;8;12;3;2;1;1;1;0;8;9;8;8;4;89;bolozon
01052;Bouligneux;3;5;7;12;15;20;37;19;29;9;7;3;10;15;12;21;37;21;29;9;320;bouligneux
01053;Bourg-en-Bresse;769;766;1062;1720;2347;3878;3512;2151;2313;1021;798;607;1072;1578;2222;3817;3662;2555;3227;2289;41366;bourg en bresse
01054;Bourg-Saint-Christophe;27;30;59;76;30;124;163;78;60;15;22;27;56;79;24;138;163;69;61;22;1323;bourg saint christophe
