id;name;dev;adm;dip;mil;goods;trade_area;flag;country;religion;culture;cult_group;type;continent;large_region;region;area
1;Stockholm;13.0;5.0;5.0;3.0;Grain;Baltic Sea;;Sweden;Catholic;Swedish;Nordic;Land;Europe;Western Europe;Scandinavia;Östra Svealand
2;Östergötland;6.0;2.0;2.0;2.0;Grain;Baltic Sea;;Sweden;Catholic;Swedish;Nordic;Land;Europe;Western Europe;Scandinavia;Östra Götaland
3;Kalmar;5.0;2.0;2.0;1.0;Naval supplies;Baltic Sea;;Sweden;Catholic;Swedish;Nordic;Land;Europe;Western Europe;Scandinavia;Östra Götaland
4;Bergslagen;7.0;2.0;3.0;2.0;Iron;Baltic Sea;;Sweden;Catholic;Swedish;Nordic;Land;Europe;Western Europe;Scandinavia;Östra Svealand
5;Värmland;3.0;1.0;1.0;1.0;Iron;Baltic Sea;;Sweden;Catholic;Swedish;Nordic;Land;Europe;Western Europe;Scandinavia;Västra Svealand
6;Lund;20.0;7.0;7.0;6.0;Fish;Lübeck;Skåne Market;Denmark;Catholic;Danish;Nordic;Land;Europe;Western Europe;Scandinavia;Skåneland
7;Skaraborg;6.0;2.0;2.0;2.0;Grain;Lübeck;;Sweden;Catholic;Swedish;Nordic;Land;Europe;Western Europe;Scandinavia;Västra Götaland
8;Dalaskogen;5.0;1.0;2.0;2.0;Copper;Baltic Sea;Stora Kopparberget;Sweden;Catholic;Swedish;Nordic;Land;Europe;Western Europe;Scandinavia;Västra Svealand
9;Hälsingland;5.0;2.0;2.0;1.0;Fish;Baltic Sea;;Sweden;Catholic;Swedish;Nordic;Land;Europe;Western Europe;Scandinavia;Norrland
10;Jämtland;3.0;1.0;1.0;1.0;Fur;North Sea;;Norway;Catholic;Norwegian;Nordic;Land;Europe;Western Europe;Scandinavia;Trøndelag
11;Västerbotten;3.0;1.0;1.0;1.0;Fur;Baltic Sea;;Sweden;Catholic;Swedish;Nordic;Land;Europe;Western Europe;Scandinavia;Norrland
12;Sjælland;20.0;8.0;8.0;4.0;Fish;Lübeck;Sound Toll;Denmark;Catholic;Danish;Nordic;Land;Europe;Western Europe;Scandinavia;Denmark
13;Slesvig;11.0;4.0;4.0;3.0;Livestock;Lübeck;;Holstein;Catholic;Danish;Nordic;Land;Europe;Western Europe;North Germany;Schleswig-Holstein
14;Fyn;14.0;5.0;5.0;4.0;Fish;Lübeck;;Denmark;Catholic;Danish;Nordic;Land;Europe;Western Europe;Scandinavia;Denmark
15;Vestjylland;5.0;2.0;2.0;1.0;Livestock;Lübeck;;Denmark;Catholic;Danish;Nordic;Land;Europe;Western Europe;Scandinavia;North Jutland
16;Bohuslän;6.0;2.0;2.0;2.0;Fish;Lübeck;;Norway;Catholic;Norwegian;Nordic;Land;Europe;Western Europe;Scandinavia;Västra Götaland
17;Akershus;8.0;3.0;3.0;2.0;Fish;Lübeck;;Norway;Catholic;Norwegian;Nordic;Land;Europe;Western Europe;Scandinavia;Østlandet
18;Lappland;3.0;1.0;1.0;1.0;Fur;Baltic Sea;;Sweden;Catholic;Sami;Nordic;Land;Europe;Western Europe;Scandinavia;Norrland
19;Österbotten;3.0;1.0;1.0;1.0;Fur;Baltic Sea;;Sweden;Catholic;Finnish;Nordic;Land;Europe;Western Europe;Scandinavia;Ostrobothnia
20;Trøndelag;8.0;3.0;3.0;2.0;Fish;North Sea;;Norway;Catholic;Norwegian;Nordic;Land;Europe;Western Europe;Scandinavia;Trøndelag
21;Hålogaland;5.0;2.0;2.0;1.0;Fish;North Sea;;Norway;Catholic;Norwegian;Nordic;Land;Europe;Western Europe;Scandinavia;Trøndelag
22;Opplanda;3.0;1.0;1.0;1.0;Naval supplies;Lübeck;;Norway;Catholic;Norwegian;Nordic;Land;Europe;Western Europe;Scandinavia;Østlandet
23;Bergenhus;7.0;3.0;3.0;1.0;Naval supplies;North Sea;Coastal Center of Trade;Norway;Catholic;Norwegian;Nordic;Land;Europe;Western Europe;Scandinavia;Vestlandet
24;Stavanger;6.0;3.0;2.0;1.0;Fish;North Sea;;Norway;Catholic;Norwegian;Nordic;Land;Europe;Western Europe;Scandinavia;Vestlandet
25;Gotland;10.0;4.0;4.0;2.0;Wool;Baltic Sea;;Denmark;Catholic;Swedish;Nordic;Land;Europe;Western Europe;Scandinavia;Östra Götaland
26;Halland;8.0;3.0;3.0;2.0;Livestock;Lübeck;;Denmark;Catholic;Danish;Nordic;Land;Europe;Western Europe;Scandinavia;Skåneland
27;Åbo;8.0;3.0;3.0;2.0;Grain;Baltic Sea;;Sweden;Catholic;Swedish;Nordic;Land;Europe;Western Europe;Scandinavia;Finland
28;Nyland;6.0;2.0;2.0;2.0;Naval supplies;Baltic Sea;;Sweden;Catholic;Finnish;Nordic;Land;Europe;Western Europe;Scandinavia;Finland
29;Tavastland;3.0;1.0;1.0;1.0;Fur;Baltic Sea;;Sweden;Catholic;Finnish;Nordic;Land;Europe;Western Europe;Scandinavia;Finland
30;Viborg;6.0;2.0;2.0;2.0;Fur;Novgorod;;Sweden;Catholic;Finnish;Nordic;Land;Europe;Eastern Europe;Russia;South Karelia
31;Savolax;3.0;1.0;1.0;1.0;Fur;Baltic Sea;;Sweden;Catholic;Finnish;Nordic;Land;Europe;Western Europe;Scandinavia;Finland
32;Kexholm;5.0;2.0;2.0;1.0;Fur;Novgorod;;Novgorod;Orthodox;Karelian;East Slavic;Land;Europe;Eastern Europe;Russia;North Karelia
33;Neva;7.0;3.0;3.0;1.0;Fur;Novgorod;Neva Estuary;Novgorod;Orthodox;Karelian;East Slavic;Land;Europe;Eastern Europe;Russia;South Karelia
34;Ingermanland;7.0;3.0;3.0;1.0;Fur;Novgorod;;Novgorod;Orthodox;Novgorodian;East Slavic;Land;Europe;Eastern Europe;Russia;South Karelia
35;Ösel;3.0;1.0;1.0;1.0;Grain;Baltic Sea;;Livonian Order;Catholic;Estonian;Baltic;Land;Europe;Eastern Europe;Baltic;Curonia
36;Reval;10.0;4.0;4.0;2.0;Grain;Baltic Sea;;Livonian Order;Catholic;Estonian;Baltic;Land;Europe;Eastern Europe;Baltic;Estonia
37;Livland;8.0;3.0;3.0;2.0;Livestock;Baltic Sea;;Livonian Order;Catholic;Latvian;Baltic;Land;Europe;Eastern Europe;Baltic;Livonia
38;Riga;11.0;5.0;5.0;1.0;Naval supplies;Baltic Sea;Daugava Estuary;Riga;Catholic;Prussian;Germanic;Land;Europe;Eastern Europe;Baltic;Livonia
39;Goldingen;7.0;3.0;3.0;1.0;Naval supplies;Baltic Sea;;Livonian Order;Catholic;Latvian;Baltic;Land;Europe;Eastern Europe;Baltic;Curonia
40;Memel;9.0;3.0;3.0;3.0;Livestock;Baltic Sea;Neman Estuary;Teutonic Order;Catholic;Lithuanian;Baltic;Land;Europe;Eastern Europe;Baltic;East Prussia
41;Königsberg;13.0;5.0;5.0;3.0;Gems;Baltic Sea;;Teutonic Order;Catholic;Prussian;Germanic;Land;Europe;Eastern Europe;Baltic;East Prussia
42;Warmia;8.0;3.0;3.0;2.0;Naval supplies;Baltic Sea;;Teutonic Order;Catholic;Prussian;Germanic;Land;Europe;Eastern Europe;Baltic;Pomerelia
43;Danzig;16.0;7.0;7.0;2.0;Grain;Baltic Sea;Vistula Estuary / Coastal Center of Trade;Teutonic Order;Catholic;Prussian;Germanic;Land;Europe;Eastern Europe;Baltic;Pomerelia
44;Hamburg;19.0;7.0;7.0;5.0;Fish;Lübeck;Elbe Estuary / Coastal Center of Trade;Hamburg;Catholic;Westphalian;Germanic;Land;Europe;Western Europe;North Germany;Lower Saxony
45;Lübeck;17.0;7.0;7.0;3.0;Naval supplies;Lübeck;Coastal Center of Trade;Lübeck;Catholic;Westphalian;Germanic;Land;Europe;Western Europe;North Germany;Mecklenburg
46;Rostock;10.0;4.0;4.0;2.0;Naval supplies;Lübeck;;Mecklenburg;Catholic;Pomeranian;Germanic;Land;Europe;Western Europe;North Germany;Mecklenburg
47;Stralsund;8.0;3.0;3.0;2.0;Fish;Lübeck;;Pomerania;Catholic;Pomeranian;Germanic;Land;Europe;Western Europe;North Germany;Vorpommern
48;Kolberg;8.0;3.0;3.0;2.0;Fish;Lübeck;;Pomerania;Catholic;Pomeranian;Germanic;Land;Europe;Western Europe;North Germany;Hinterpommern
49;Neumark;9.0;3.0;3.0;3.0;Livestock;Saxony;;Teutonic Order;Catholic;Saxon;Germanic;Land;Europe;Western Europe;North Germany;Neumark
50;Berlin;12.0;4.0;4.0;4.0;Cloth;Saxony;;Brandenburg;Catholic;Saxon;Germanic;Land;Europe;Western Europe;North Germany;Mittelmark
51;Ruppin;7.0;3.0;3.0;1.0;Livestock;Saxony;;Brandenburg;Catholic;Saxon;Germanic;Land;Europe;Western Europe;North Germany;Mittelmark
52;Magdeburg;10.0;4.0;4.0;2.0;Cloth;Saxony;Inland Center of Trade;Magdeburg;Catholic;Saxon;Germanic;Land;Europe;Western Europe;North Germany;Northern Saxony
